Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
custom-round-diamond-ring,Custom Round Diamond Engagement Ring,"Customisable Round-cut diamond ring. Choose metal, carat, setting & engraving in the 3D builder.",Your Brand,Ring,"ring,Round,custom",TRUE,Metal,White Gold,Carat,0.50,RD-WHITEGOLD-0.50,,continue,manual,800,TRUE,TRUE,active
custom-round-diamond-ring,,,,,,,,White Gold,,0.75,RD-WHITEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,White Gold,,1.00,RD-WHITEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,White Gold,,1.50,RD-WHITEGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,White Gold,,2.00,RD-WHITEGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,White Gold,,3.00,RD-WHITEGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Yellow Gold,,0.50,RD-YELLOWGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Yellow Gold,,0.75,RD-YELLOWGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Yellow Gold,,1.00,RD-YELLOWGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Yellow Gold,,1.50,RD-YELLOWGOLD-1.50,,continue,manual,3500,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Yellow Gold,,2.00,RD-YELLOWGOLD-2.00,,continue,manual,6000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Yellow Gold,,3.00,RD-YELLOWGOLD-3.00,,continue,manual,12000,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Rose Gold,,0.50,RD-ROSEGOLD-0.50,,continue,manual,800,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Rose Gold,,0.75,RD-ROSEGOLD-0.75,,continue,manual,1200,TRUE,TRUE,
custom-round-diamond-ring,,,,,,,,Rose Gold,,1.00,RD-ROSEGOLD-1.00,,continue,manual,2000,TRUE,TRUE,
